2016-11-25 01:40:09,037 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x158992197700001 type:create cxid:0x2e zxid:0x3414 txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
2016-11-25 01:40:09,055 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x158992197700001 type:create cxid:0x30 zxid:0x3415 txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
2016-11-25 01:40:09,074 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x158992197700001 type:create cxid:0x32 zxid:0x3416 txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
2016-11-25 01:40:09,115 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x158992197700001 type:create cxid:0x34 zxid:0x3417 txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
2016-11-25 01:40:09,129 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x158992197700001 type:create cxid:0x36 zxid:0x3418 txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
2016-11-25 01:40:09,154 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x158992197700001 type:create cxid:0x38 zxid:0x3419 txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
2016-11-25 01:40:13,051 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@192] - Accepted socket connection from /192.168.33.10:34918
2016-11-25 01:40:13,069 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@928] - Client attempting to establish new session at /192.168.33.10:34918
2016-11-25 01:40:13,098 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@673] - Established session 0x158992197700002 with negotiated timeout 120000 for client /192.168.33.10:34918
2016-11-25 01:40:13,106 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x158992197700002 type:create cxid:0x1 zxid:0x3429 txntype:-1 reqpath:n/a Error Path:/hbase Error:KeeperErrorCode = NodeExists for /hbase
2016-11-25 01:40:15,786 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@192] - Accepted socket connection from /192.168.33.10:34920
2016-11-25 01:40:15,816 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@928] - Client attempting to establish new session at /192.168.33.10:34920
2016-11-25 01:40:15,848 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@673] - Established session 0x158992197700003 with negotiated timeout 120000 for client /192.168.33.10:34920
2016-11-25 01:40:18,340 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@192] - Accepted socket connection from /192.168.33.10:34924
2016-11-25 01:40:18,372 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@928] - Client attempting to establish new session at /192.168.33.10:34924
2016-11-25 01:40:18,388 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@673] - Established session 0x158992197700004 with negotiated timeout 120000 for client /192.168.33.10:34924
2016-11-25 01:40:19,707 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@192] - Accepted socket connection from /192.168.33.10:34928
2016-11-25 01:40:19,709 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@928] - Client attempting to establish new session at /192.168.33.10:34928
2016-11-25 01:40:19,723 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@673] - Established session 0x158992197700005 with negotiated timeout 120000 for client /192.168.33.10:34928
2016-11-25 01:40:20,744 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@192] - Accepted socket connection from /192.168.33.10:34930
2016-11-25 01:40:20,747 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@928] - Client attempting to establish new session at /192.168.33.10:34930
2016-11-25 01:40:20,751 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@673] - Established session 0x158992197700006 with negotiated timeout 120000 for client /192.168.33.10:34930
2016-11-25 01:40:21,179 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x158992197700002 type:create cxid:0x3b zxid:0x3436 txntype:-1 reqpath:n/a Error Path:/hbase/flush-table-proc/acquired Error:KeeperErrorCode = NodeExists for /hbase/flush-table-proc/acquired
2016-11-25 01:40:21,208 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x158992197700003 type:create cxid:0x7 zxid:0x3437 txntype:-1 reqpath:n/a Error Path:/hbase/flush-table-proc/acquired Error:KeeperErrorCode = NodeExists for /hbase/flush-table-proc/acquired
2016-11-25 01:40:21,245 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x158992197700003 type:create cxid:0xa zxid:0x3438 txntype:-1 reqpath:n/a Error Path:/hbase/online-snapshot/acquired Error:KeeperErrorCode = NodeExists for /hbase/online-snapshot/acquired
2016-11-25 01:40:21,299 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x158992197700002 type:create cxid:0x41 zxid:0x3439 txntype:-1 reqpath:n/a Error Path:/hbase/online-snapshot/acquired Error:KeeperErrorCode = NodeExists for /hbase/online-snapshot/acquired
2016-11-25 01:40:22,089 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x158992197700001 type:create cxid:0x28d zxid:0x343c txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
2016-11-25 01:40:22,157 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x158992197700001 type:create cxid:0x298 zxid:0x343f txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
2016-11-25 01:40:22,212 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x158992197700001 type:create cxid:0x2a8 zxid:0x3445 txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
